,0
0,5151.293406173862
1,11966.232666897133
2,3081.0468694267574
3,16893.590862887755
4,22363.682422576465
5,34334.20180257894
6,6057.538729885571
7,58778.669970924144
8,20611.431057442336
9,28999.828541410916
10,13405.167846242677
11,20872.55975913363
12,19440.887887807043
13,36045.649285101324
14,27798.477312505172
15,4218.144710989051
16,-8652.597209740674
17,55310.14519294357
18,4237.6575141848425
19,31800.014776021995
20,23639.44195197419
21,-856.7701101177393
22,104255.93784204169
23,11377.905561119638
24,-2390.5314778608745
25,13354.140997309278
26,35382.26977876547
27,-7053.953973509798
28,7712.294568418145
29,17498.055551530077
30,17981.462911660692
31,29974.607125457896
32,9430.807345068566
33,4425.292725988588
34,4752.653433946409
35,3616.7169470269164
36,578.9182461841015
37,2345.3884787843976
38,10264.776108334565
39,4109.436115272546
40,7814.384164341447
41,697.5535034049315
42,3210.6638464431003
43,7420.48941582886
44,10583.12187120307
45,7824.300007431679
46,17838.444834494003
47,4241.294487673585
48,5918.8275087924
49,28024.323785885867
50,14764.748662537455
51,20916.279861829684
52,18667.30301425079
53,94335.56521192488
54,13771.288816263526
55,5437.068931949648
56,49135.13437979451
57,9862.428206290722
58,46612.80233833362
59,5968.226815497678
60,182379.62332748427
61,14591.753690155187
62,6312.986194456456
63,5332.351329540805
64,59552.64422091614
65,1718.0361545709375
66,29716.350975479356
67,22721.55476946328
68,4662.61946762517
69,2178.8730395114235
70,-2313.9737321111033
71,21517.173976570903
72,1903.0278483613406
73,11036.104365884901
74,8862.149392006251
75,8338.727579679087
76,6453.830105986356
77,-1159.4624289791702
78,2930.886339522077
79,10288.905200999801
80,4662.735498093881
81,-1389.784775650245
82,2698.5767203615237
83,75468.49131254299
84,566.6057967681072
85,2210.3792349536147
86,31587.539825524775
87,1081.249537521167
88,25450.143982278692
89,16216.462701824305
90,-314.83534238995236
91,14053.617727777251
92,39005.72008977402
93,6639.338615674231
94,-2707.6551043284767
95,11656.192028215408
96,-15147.722027772668
97,3246.2005905435744
98,2179.466359809664
99,-6713.612731526716
100,-7172.165151964044
101,1206.0640673040057
102,-4711.39022002702
103,3080.9857738909755
104,-947.3864533293051
105,1825.1623461535364
106,-21446.471270383096
107,-935.6521521596202
108,-8227.496637795975
109,798.51588018801
110,-5058.9870522903975
111,-10724.215271040786
112,6352.406082123703
113,-2868.3124268422166
114,2482.20699534331
115,14499.824648897886
116,-17970.077544994645
117,7258.692589356933
118,8010.47912611967
119,-12931.370835372967
120,-15293.313695183235
121,-6608.122429195391
122,-4110.496802610545
123,13003.14301934198
124,-14516.281335949097
125,8872.5573315837
126,3145.377753035852
127,-9210.579689515616
128,-10299.733919953575
129,-16225.836528687914
130,-16776.138116425936
131,3617.9379367627125
132,4644.994322172648
133,15334.24664868515
134,-17035.841974666055
135,-10625.499187315967
136,2856.548224371886
137,-3874.1705448982457
138,-7464.32379842312
139,-23348.576091731837
140,-13822.967704026467
141,-13430.238629123163
142,-11719.582029784116
143,-16819.546656987077
144,2184.794198210934
145,-2890.9041467248753
146,-19734.84777169307
147,-18710.111598627995
148,-12229.693676343695
149,-15525.914977563296
150,-19928.784047818994
151,-18530.008617621475
152,-19874.82393323945
153,-14537.553791474056
154,-22466.36540060906
155,-18432.656818189273
156,-16949.106496834058
157,-32817.62609081369
158,-12535.942471127913
159,-22944.743157033852
160,-27604.668094222838
161,-12943.752234721269
162,-20949.293744320297
163,-28899.610677439963
164,-20532.6420155458
165,-22734.65046337223
166,-18351.959443009495
167,-19230.868229992255
168,-24002.56078486732
169,-18449.26202582472
170,-29027.364538668084
171,-24863.417227545524
172,-29239.418591822654
173,-19660.140015293982
174,-12737.32136389859
175,-24167.63285640467
176,-27723.483611164942
177,-25521.5249085595
178,-19844.475139085647
179,-10420.967932444597
180,-21410.785968959506
181,-26454.61204788072
182,-15251.263579832883
183,-28075.294881674257
184,-21448.705595267296
185,-10825.406855491292
186,-29573.881336358307
187,-27581.216279585573
188,-27730.4538321723
189,-9907.822285481077
190,-8106.824951091429
191,-27741.640636991404
192,-21010.83638390516
193,-25310.14238717922
194,-10103.00552856867
195,-20441.23144122518
196,-12619.306263992345
197,-17518.9122662936
198,-27546.56914056201
199,-23955.860461196036
200,-13002.540725197423
201,-10031.379104580337
202,-11068.339886462396
203,-24545.3063090292
204,-12029.90978142747
205,-9267.90124651347
206,-24258.91573848167
207,-12829.822076619099
208,-14689.615078056937
209,-27458.67979526006
210,-23642.178524583105
211,-21253.852679952808
212,-21651.006977899073
213,-13979.302135221731
214,-19830.4242472778
215,-9914.847718910287
216,-10498.625571776036
217,-14988.76563172375
218,-8834.41669714642
219,-27440.676843575657
220,-28340.001232131614
221,-12815.901525594514
222,-18110.320383137692
223,-9435.130906311528
224,-12570.400250757853
225,-17893.25631218186
226,-26489.808873681806
227,-26336.94788155952
228,-14024.491373265659
229,-28316.235690952228
230,-15878.167570074007
231,-18266.839633953496
232,-14279.635525209735
233,-29663.317659353605
234,-15337.355523385848
235,-27843.515148797473
236,-28228.559085055273
237,-36981.32864268636
238,-19207.68281575984
239,-19977.073567883046
240,-12822.938299240466
241,-10484.199472515811
242,-11907.639762902269
243,-9905.144230229802
244,-26556.514052736045
245,-13421.771680042932
246,-22283.974967043527
247,-26263.520800890954
248,-20896.264500568752
249,-36916.21532038377
250,-20203.961561719156
251,-13321.314637585665
252,-18814.92475452012
253,-13192.726326845795
254,-26854.697858644675
255,-14578.155835272215
256,-30465.731184701006
257,-30429.711327539902
258,-21113.114332672096
259,-28373.066903128543
260,-19884.58584493669
261,-32040.893217347177
262,-29072.704776595976
263,-23028.620342672268
264,-10490.685194782722
265,-13116.748846601882
266,-17589.29352782945
267,-14023.339256571746
268,-17688.076512777196
269,-15394.321464904782
270,-31236.147568263317
271,-30259.760497169897
272,-13550.28170491001
273,-18189.442895211265
274,-28996.056719688768
275,-24245.78553586097
276,-20695.574920814146
277,-23304.645321984215
278,-14490.335452852598
279,-26295.501581244753
280,-27582.801782872175
281,-27900.785175971247
282,-18503.682497661885
283,-21433.982601780164
284,-18689.967870175784
285,-31599.413293427064
286,-19088.883102053132
287,-35108.85823580249
288,-20285.369310169757
289,-32521.328314308634
290,-35740.026103030614
291,-18008.573515011292
292,-22194.664315433347
293,-24916.689854210385
294,-24798.47570569104
295,-22599.91281319878
296,-22892.422921523947
297,-13006.165884076023
298,-30630.288844625582
299,-16320.298642685739
300,-29427.508627316492
301,-26892.487762921955
302,-23402.89171455386
303,-24287.22193736508
304,-18152.433764518428
305,-30833.030702714077
306,-22413.0933907712
307,-21590.079357339808
308,-19198.279226927072
309,-25920.042034222643
310,-32429.447154686823
311,-26122.07780852045
312,-27292.596242691154
313,-18083.485413367736
314,-27038.38097181197
315,-19087.496817542655
316,-21188.528109691895
317,-21705.623989160107
318,-33934.459237217605
319,-20031.592746737893
320,-30249.625627208607
321,-27400.262292919877
322,-23523.659692812398
323,-27005.962049300077
324,-34283.49970762123
325,-34057.883343341615
326,-25604.647775181296
327,-23396.274571259833
328,-20405.89211388625
329,-27295.254987923552
330,-36018.89089849052
331,-26599.365154113388
332,-20192.04518875313
333,-31641.812973896533
334,-30223.628077013058
335,-30812.50891548027
336,-29650.98769390805
337,-28621.336474528543
338,-29107.347422651637
339,-15231.441583613054
340,-29586.8609673814
341,-33195.71520981233
342,-27495.281828017305
343,-30808.197849700216
344,-24380.476275682828
345,-26622.29463297378
346,-20788.347964026816
347,-22694.755882696576
348,-32234.544048308613
349,-22089.34372203861
350,-33597.87759942184
351,-29012.384748618584
352,-36948.771157539406
353,-23887.921606683678
354,-27184.364816123998
355,-21889.32720335004
356,-34099.07098136385
357,-30221.998692164943
358,-24987.900270723214
359,-31403.35253549195
360,-22214.078482272755
361,-21695.49161621143
362,-27050.040017534116
363,-33287.39452131516
364,-27286.30154580829
365,-23475.691931516794
366,-33802.02255198309
367,-30587.761864584892
368,-32599.651762476435
369,-30696.533839794254
370,-22984.370642561604
371,-27497.034114188802
372,-32684.600912048514
373,-36709.871090686895
374,-33706.18248319221
375,-35294.54808114939
376,-29305.12999558389
377,-31595.36512755767
378,-27197.403515849895
379,-19200.315511812245
380,-24886.560085539906
381,-33088.98843328704
382,-20283.392698254695
383,-24486.86250006772
384,-21480.54076278932
385,-18407.179527837885
386,-22944.969862978178
387,-27523.236937913734
388,29276.368176713746
389,-29006.890172246305
390,-23020.199332442993
391,-23709.439307069595
392,-26619.003381619834
393,5764.832356298515
394,950.9855743999797
395,-19325.56780222955
396,-29699.905084511345
397,-21464.26365396494
398,-29669.053432206645
399,-15411.477196486145
400,-29559.95534993101
401,-26036.60231836629
402,-26008.32923565712
403,-26035.26046897262
404,-18448.558250997135
405,-24516.64600113993
406,-28121.626899595645
407,-27520.74468940332
408,-26006.14973168926
409,-27501.0417969924
410,-26008.70819590333
411,-26028.06936825078
412,-27550.95691605729
413,-23021.276419276357
414,-22976.617434285952
415,-21506.894148326268
416,-25120.024902706347
417,-25974.012874691147
418,-24507.878037679006
419,-27547.39063063054
420,-24518.012473412702
421,-23002.074735629463
422,-27545.618993618275
423,-29017.7649273204
424,-27538.627777567905
425,-24475.562362756806
426,-27545.391421476466
427,-29000.631160476627
428,-21459.824861612404
429,-22993.753699422057
430,-24499.697060691815
431,-22991.798151300583
432,-24505.17753217845
433,-24483.217995765335
434,-23019.233464571524
435,-26015.9149448404
436,-24522.117616318475
437,-26032.850714220207
438,-27544.358674450086
439,-26021.45481087978
440,-28953.152354392805
441,-25951.904508095977
442,-27523.953747008785
443,-27530.35464252203
444,-29040.935679336882
445,-29040.84244771127
446,-26004.884967618033
447,-27535.588124254777
448,-24494.70113561182
449,-30488.551089242523
450,-26027.386444458236
451,-24497.945829451673
452,-27557.766894190896
453,-24506.409635747776
454,-27526.95950282261
455,-29054.59199774679
456,-22982.1648525751
457,-22978.87601061327
458,-26032.721210379743
459,-27523.75641785435
460,-27525.695817015006
461,-24513.23425280956
462,-21504.27146167787
463,-22967.914871134297
464,-24522.55849969473
465,-24497.051866516435
466,-29029.40161824389
467,-24488.0870696786
468,-24512.87091923962
469,-24497.583090210643
470,-26010.55142082268
471,-24468.530557304286
472,-27509.07029661542
473,-24542.156419329225
474,-27519.290355733137
475,-24519.32166487519
476,-24508.556436504758
477,-27539.964213089508
478,-27548.710994137968
479,-26022.58487713211
480,-27508.646763042456
481,-24494.536721517055
482,-24526.568862615102
483,-29013.013907067943
484,-27494.056448390027
485,-21459.419950434836
486,-27503.71129148778
487,-19116.569523792587
488,-23005.355740515653
489,-27535.298218878772
490,-28999.96871830147
491,-24482.146958745412
492,-26023.483637193207
493,-27543.92319813399
494,-25988.389626784396
495,-26017.22538843317
496,-6609.276773238007
497,-11694.993459797066
498,-1736.4704376345098
499,-19753.393894500896
500,-26049.017230413032
501,4465.100668344436
502,-16940.43303178825
503,-26039.805935626544
504,-11984.465359095437
505,-29001.825404059906
506,9495.380919692054
507,-27545.836370476587
508,-12018.869492774073
509,-25524.806103333467
510,-24520.137319514146
511,-16628.693875454002
512,-27504.135746937183
513,-22537.80718374058
514,-24505.807880144726
515,-23008.090507631696
516,-10754.000707213278
517,-24507.481243813192
518,-19027.465087049917
519,-10736.843453495801
520,6937.867445077523
521,5174.001258868368
522,1100.24520099192
523,33601.374506883665
524,22285.3303630337
525,-23829.633064721485
526,19108.419265593355
527,16555.40806138203
528,12823.773993080145
529,51009.91816882974
530,37058.67671853847
531,10775.251812688002
532,35238.08903474445
533,48651.67468453361
534,10061.596206504188
535,8187.946034436831
536,40703.33043246681
537,30873.236449002376
538,60976.92480186228
539,116841.1060247007
540,38424.60180964811
541,25621.844816857287
542,57812.75423904261
543,7752.656770879703
544,41479.95591628278
545,31653.53955482582
546,-7136.7989747467545
547,52175.79607196164
548,67324.5799510572
549,108472.68188554989
550,16177.922813604433
551,76649.40958256435
552,28086.35033936607
553,47068.41104344366
554,102282.8220353095
555,6833.065757654424
556,19949.36059970351
557,69547.19849835009
558,-17604.093689646026
559,56424.512786402054
560,74208.49020451868
561,-37335.87286673881
562,29485.01646207805
563,35268.75622939597
564,12670.519353883872
565,25603.91133684977
566,17739.942822806795
567,-7159.774582080135
568,52905.37111077639
569,6754.382782934581
570,6879.376674714112
571,11600.71768578323
572,27212.068498610875
573,46710.907950013316
574,25549.218805609824
575,21414.594889016167
576,54895.812673383174
577,43842.61244600844
578,309.90412486515856
579,-3461.766572673495
580,24929.488128467692
581,21829.729350418114
