,0
0,-813.3443242192686
1,-752.3808663372054
2,-818.0527060413715
3,-930.0303581283705
4,-893.975565095634
5,-893.0585280040974
6,-915.8550889361356
7,-908.1320056464263
8,-875.7779385851234
9,-768.7405180402044
10,-884.1912801248658
11,-813.9633870880888
12,-856.6706927910118
13,-940.8749472304237
14,-971.1471933942128
15,-845.523234015712
16,-866.9316176690231
17,-901.6522364095207
18,-896.8454934865506
19,-956.0207511181047
20,-892.3222390012124
21,-913.5096394634546
22,-887.69303812626
23,-930.5542070197605
24,-957.5348215198524
25,-913.7269560350283
26,-895.5958891454602
27,-877.1238637472945
28,-921.9796766296547
29,-860.4207962295687
30,-951.2077949748602
31,-953.5763960377365
32,-889.4564485460097
33,-927.4232085927067
34,-921.9825301286298
35,-909.9541325033839
36,-848.2446179224465
37,-966.8749641719818
38,-891.1984343751267
39,-914.7089707280418
40,-924.8123194987512
41,-874.5528918859495
42,-774.9205012984747
43,-935.6884976889255
44,-903.4615972509703
45,-838.6979230721801
46,-963.846673259924
47,-970.4921037749613
48,-930.9923821949636
49,-977.3620951550358
50,-979.3499008754209
51,-971.2604949946699
52,-975.2395911139297
53,-992.8785138602694
54,-972.228357067737
55,-948.3661362529787
56,-928.816127285809
57,-999.5673251835623
58,-959.818973798256
59,-980.7276594250758
60,-995.7501855343362
61,-970.6133010922061
62,-991.7884223239264
63,-963.6058556135354
64,-973.542336193369
65,-999.3860975231634
66,-945.5288181683408
67,-972.5607159686642
68,-968.0629761913885
69,-995.9008929275071
70,-967.7678365253023
71,-948.8950596861408
72,-962.6390599935409
73,-996.1144779245203
74,-975.1548759556437
75,-971.7203733405792
76,-937.1059545349761
77,-989.5708881020571
78,-990.5117092351692
79,-984.5623464726102
80,-968.0378138200961
81,-963.1874925162299
82,-952.4225226375462
83,-966.0275055312998
84,-984.0003521271625
85,-991.2842443365573
86,-981.449336850071
87,-965.6172867095889
88,-986.2562582927654
89,-982.6888311144069
90,-967.7002295613822
91,-974.7107737180273
92,-989.5352417400785
93,-986.8342869177433
94,-1010.7140132226327
95,-947.4135023536805
96,-1012.6771818468642
97,-957.7286916323948
98,-959.3037567334264
99,-961.3786316913825
100,-976.3763103073172
101,-978.6879503093884
102,-952.2548621844754
103,-964.6113556026309
104,-1011.4139059640027
105,-959.7124780102824
106,-985.2388643315631
107,-964.1824351589137
108,-941.2097432956999
109,-991.1309245769494
110,-966.2445048075516
111,-964.9638520810231
112,-970.6474712137043
113,-980.4053135119574
114,-942.3330187337058
115,-971.1831649577535
116,-1016.8505330125017
117,-981.391172963038
118,-962.4175229603328
119,-972.513439953282
120,-939.6419898097873
121,-1005.1656863365366
122,-991.4423825866432
123,-979.9747846502975
124,-987.20628277477
125,-1016.3429133870316
126,-992.6355770123407
127,-1018.7560836338989
128,-976.0262379038766
129,-935.5580014842066
130,-975.7137302695579
131,-998.6927190789798
132,-1006.9315265919543
133,-981.2818001149326
134,-1008.3375637555957
135,-936.8328998407718
136,-985.4260328718902
137,-970.417147397745
138,-941.3850282308632
139,-954.5104570618998
140,-943.2078254840092
141,-941.5129664847415
142,-965.1852838859763
143,-985.0242971080286
144,-974.5833751807245
145,-995.4903860671003
146,-990.1349877657793
147,-992.889945701274
148,-931.85237109411
149,-980.9308243487848
150,-967.0996031361636
151,-962.5529303990215
152,-972.4292373401574
153,-949.3162405930948
154,-973.789157567828
155,-986.8707256484066
156,-989.2632455665217
157,-1000.0526555520216
158,-965.4188041721513
159,-976.9703438476889
160,-969.6332510578118
161,-976.8987525912256
162,-988.8541713340187
163,-957.8672115932021
164,-950.7912573225811
165,-958.4965840852101
166,-963.222766403314
167,-955.0063641698747
168,-940.4025474141648
169,-972.2952694078648
170,-963.4282677874318
171,-939.2347144918821
172,-962.3376344348429
173,-961.7891908484407
174,-987.7442853404582
175,-960.4826187172849
176,-997.3623189370479
177,-951.5700290709362
178,-969.586500264202
179,-963.4976556162046
180,-964.4713797711203
181,-972.9454104945991
182,-980.2164542402418
183,-966.5685562697576
184,-996.8470767461445
185,-973.1275631833118
186,-8.97415429596731
187,499.6754336814903
188,477.6916136701185
189,1389.5301638783162
190,-246.3365019056862
191,2092.9533539380795
192,-617.6295458086413
193,3236.6778933502746
194,1195.5453598009788
195,1438.3661459928626
196,2662.6731295878512
197,-356.2477178521775
198,6593.182231491767
199,6535.620712207232
200,1847.3760891748384
201,1381.864215407719
202,6510.507601491408
203,3784.068518720768
204,-531.8676829067895
205,3683.00091584469
206,-631.092888997289
207,930.3093639405204
208,4948.459392707069
209,355.3410027827865
210,-15.362688908628911
211,969.9522382351895
212,3226.0293849375266
